product_hs92_code,product_name_short,product_name,pci,density,effort,efficiency,cog,strategic_score,export_value,import_value
8474,Machinery for working minerals,"Machinery for sorting, screening, separating, washing, crushing, grinding, mixing or kneading earth, stone, ores or other mineral substances, in solid (including powder or paste) form; machinery for agglomerating, shaping or molding solid mineral fuels, c",0.039,0.17200000000000004,0.828,0.04704463208685163,0.637,0.15560462311203396,151661893,654856863
1003,Barley,Barley,0.187,0.15400000000000003,0.846,0.2207792207792208,0.635,0.15428503945943228,6906,68540
3203,Coloring matter of animal or vegetable origin,"Coloring matter of vegetable or animal origin (including dyeing extracts but excluding animal black), whether or not chemically defined; preparations as specified in note 3 to this chapter based on coloring matter of vegetable or animal origin",0.096,0.15200000000000002,0.848,0.11307420494699646,0.985,0.1541762346610095,872663,11436808
9113,Watch straps,"Watch straps, watch bands and watch bracelets, and parts thereof",0.008,0.16500000000000004,0.835,0.009569377990430623,0.879,0.15220713513578266,630981,2883341
9999,Commodities not specified according to kind,Commodities not specified according to kind,0.044,0.19199999999999995,0.808,0.05438813349814585,0.002,0.1516895199251738,25019522,2864826326
5007,Woven silk fabrics,Woven fabrics of silk or of silk waste,0.045,0.17000000000000004,0.83,0.05415162454873646,0.592,0.15052854159155596,391797,4213824
0502,Brushmaking hair,"Pigs', hogs' or boars' bristles and hair; badger hair and other brushmaking hair; waste of such bristles or hair",0.451,0.14300000000000002,0.857,0.5256410256410257,0.003,0.1486886000673603,0,7941242
9701,Paintings and drawings,"Paintings, drawings and pastels, executed entirely by hand, other than drawings of heading 4906 and other than hand-painted or hand-decorated manufactured articles; collages and similar decorative plaques; all therefore going framed or not framed",0.35,0.129,0.871,0.4013761467889908,0.726,0.14861010783564887,3560890,5354736
7316,Anchors of iron or steel,"Anchors, grapnels and parts thereof, of iron or steel",0.018,0.17300000000000004,0.827,0.021739130434782608,0.535,0.14660314026483992,1247943,7331459
8710,Tanks and other armored fighting vehicles,"Tanks and other armored fighting vehicles, motorized, whether or not fitted with weapons, and parts of such vehicles",0.267,0.14600000000000002,0.854,0.312280701754386,0.448,0.1446688333942942,36154901,89415850
3302,Mixtures of odoriferous subtances,"Mixtures of odoriferous substances and mixtures (including alcoholic solutions) with a basis of one or more of these substances, of a kind used as raw materials in industry; other preparations based on odoriferous substances, of a kind used for the manufa",0.021,0.17400000000000004,0.826,0.025392986698911733,0.454,0.1438810483095911,214995137,394442048
1702,Other sugars,"Other sugars, including chemically pure lactose, maltose, glucose and fructose, in solid form; sugar syrups not containing added flavoring or coloring matter; artificial honey, whether or not mixed with natural honey; caramel",0.019,0.16900000000000004,0.831,0.022836538461538464,0.574,0.14229065422241552,69998238,309572575
1505,Wool grease,Wool grease and fatty substances derived therefrom (including lanolin),0.151,0.14200000000000002,0.858,0.17578579743888242,0.872,0.14069643056191206,6885,1289170
