rank,product_hs92_code,product_name_short,pci
952,3819,Hydraulic fluids,0.471
953,3819,,0.471
954,8310,,0.47
955,8310,Sign plates and similar plates of base metal,0.47
956,5408,Woven fabrics of artificial filament yarn,0.468
957,5408,,0.468
958,3207,Prepared pigments,0.467
959,3207,,0.467
960,7013,Glassware for interior decorative use,0.466
961,7013,,0.466
962,7409,,0.461
963,7409,"Copper plates, sheets and strip > 0.15 mm",0.461
964,4017,,0.458
965,4017,Hard rubber,0.458
966,2706,,0.457
967,2706,"Tar distilled from coal, lignite etc.",0.457
968,3406,,0.452
969,3406,Candles,0.452
970,5502,,0.45
971,5502,Artificial filament tow,0.45
972,4702,,0.448
973,4702,"Chemical woodpulp, dissolving grade",0.448
974,3922,"Baths, sinks etc.",0.445
975,3922,,0.445
976,7419,Other articles of copper,0.443
977,7419,,0.443
978,9023,,0.442
979,9023,Instruments designed for demonstrational purposes,0.442
980,8112,Other metals,0.441
981,8112,,0.441
982,3405,Polishes and creams,0.44
983,4910,,0.44
984,4910,Calendars,0.44
985,3405,,0.44
986,8432,Machinery for soil preparation or cultivation,0.439
987,8432,,0.439
988,3506,,0.438
989,3506,Glues and adhesives,0.438
990,7016,,0.436
991,8107,Cadmium,0.436
992,0505,Feathers and down,0.436
993,7016,Glass paving blocks or other molded products,0.436
994,505,,0.436
995,3004,"Medicaments, packaged",0.434
996,3004,,0.434
997,9007,Cinematographic cameras and projectors,0.43
998,9007,,0.43
999,7018,Glass beads,0.429
1000,3921,"Other plastic plates, sheets etc.",0.429
1001,3921,,0.429
1002,7018,,0.429
1003,3926,,0.427
1004,3926,Other articles of plastic,0.427
1005,8425,,0.42
1006,8425,Pulleys and winches,0.42
1007,4014,Rubber hygenic or pharmeceutical items,0.42
1008,4014,,0.42
1009,8205,Hand tools n.e.c.,0.419
1010,8205,,0.419
1011,1514,"Rapeseed, colza or mustard oil,",0.415
1012,1514,,0.415
1013,404,,0.413
1014,0404,Whey,0.413
1015,6308,,0.412
1016,6308,Needlecraft sets of woven fabric and yarn,0.412
1017,4705,Semichemical woodpulp,0.409
1018,5704,,0.407
1019,5704,Carpets of felt,0.407
1020,4301,,0.403
1021,4301,Other raw furskins,0.403
1022,8304,"Paper trays and similar office equipment, of base metal",0.401
1023,8304,,0.401
1024,5104,Garnetted stock of wool or animal hair,0.4
1025,3606,Ferrocerium and other pyrophoric alloys,0.4
1026,3606,,0.4
1027,2526,,0.396
1028,2526,Natural steatite,0.396
1029,3809,Finishing agents,0.394
1030,8903,Pleasure or sport boats,0.394
1031,8903,,0.394
1032,3809,,0.394
1033,8206,,0.393
1034,8206,Retail tool sets,0.393
1035,9615,,0.391
1036,9615,"Combs, hair-slides etc.",0.391
1037,3204,Synthetic organic coloring matter,0.391
1038,3204,,0.391
1039,2909,,0.39
1040,5510,,0.39
1041,5510,"Yarn of artificial staple fibers, not for retail sale",0.39
1042,2909,Ethers,0.39
1043,7326,,0.389
1044,7326,Other articles of iron or steel,0.389
1045,7312,,0.387
1046,7312,"Wire of iron or steel, not insulated",0.387
1047,7610,,0.385
1048,7610,"Aluminum structures (bridges, towers etc)",0.385
1049,8438,Machinery for the industrial preparation of food or drink,0.382
1050,8438,,0.382
1051,4414,Wooden frames,0.379
1052,4414,,0.379
1053,8506,Primary cells and primary batteries,0.377
1054,8506,,0.377
1055,7208,,0.375
1056,7208,"Flat-rolled iron, width > 600mm, hot-rolled, not clad",0.375
1057,7003,,0.374
1058,7003,"Glass, cast or rolled",0.374
1059,8453,,0.374
1060,8453,Machinery for preparing leather,0.374
1061,9609,,0.372
1062,9609,"Pencils, crayons, pastels, etc.",0.372
1063,9604,Hand sieves and riddles,0.368
1064,9604,,0.368
1065,7608,Aluminum tubes and pipes,0.368
1066,7608,,0.368
1067,3502,Albumins,0.366
1068,3502,,0.366
1069,8712,,0.365
1070,8712,Bicycles,0.365
1071,5404,,0.363
1072,5404,"Synthetic monofilament >67 dtex, thickness < 1mm",0.363
1073,4703,,0.362
1074,4703,"Chemical woodpulp, soda or sulfate",0.362
1075,3501,Casein,0.361
1076,3501,,0.361
1077,4002,,0.355
1078,4002,Synthetic rubber,0.355
1079,1601,,0.352
1080,1601,Sausages,0.352
1081,8311,,0.351
1082,8311,Wire etc. used for welding,0.351
1083,9614,Smoking pipes,0.35
1084,9614,,0.35
1085,7611,,0.341
1086,7611,"Aluminum containers, >300 liters",0.341
1087,6506,,0.34
1088,6506,Other headgear,0.34
1089,4911,,0.336
1090,4911,Other printed matter,0.336
1091,7301,,0.334
1092,7301,Sheet piling of iron or steel,0.334
1093,4905,,0.334
1094,4905,Maps,0.334
1095,8716,,0.333
1096,8716,Trailers and semi-trailers,0.333
1097,7325,Other cast articles of iron or steel,0.332
1098,7325,,0.332
1099,7011,,0.331
1100,7011,Glass envelopes,0.331
1101,2923,,0.33
1102,2923,Quaternary ammonium salts and hydroxides,0.33
1103,2831,,0.318
1104,2831,Dithionites and sulfoxylates,0.318
1105,8201,Handtools for gardening,0.316
1106,8201,,0.316
1107,9401,Seats,0.315
1108,9401,,0.315
1109,3213,Artists' colors,0.315
1110,3213,,0.315
1111,2846,Compounds of rare-earth metals,0.313
1112,2846,,0.313
1113,1004,,0.303
1114,1004,Oats,0.303
1115,8606,"Railway cars, not self-propelled",0.302
1116,8606,,0.302
1117,4817,,0.301
1118,4817,Letterstock,0.301
1119,208,,0.299
1120,0208,Other meat,0.299
1121,2938,Glycosides,0.298
1122,2938,,0.298
1123,210,,0.294
1124,0210,Preserved meat,0.294
1125,6507,,0.292
1126,6507,Headbands,0.292
1127,2904,"Sulfonated, nitrated derivatives of hydrocarbons",0.291
1128,2904,,0.291
1129,4011,,0.287
1130,4011,New pneumatic tires of rubber,0.287
1131,5406,,0.285
1132,5406,Synthetic filament yarn for retail sale,0.285
1133,9704,Postage or revenue stamps,0.284
1134,5402,Synthetic filament yarn,0.284
1135,9704,,0.284
1136,5402,,0.284
1137,9502,,0.282
1138,9502,Dolls,0.282
1139,8426,Ships' derricks; cranes,0.282
1140,8426,,0.282
1141,4822,,0.28
1142,4822,"Bobbins, spools, cops of paper",0.28
1143,3904,Polymers of vinyl chloride,0.28
1144,3904,,0.28
1145,9501,"Rideable wheeled toys, dolls carriages",0.277
1146,9501,,0.277
1147,7004,Drawn and blown glass,0.277
1148,7004,,0.277
1149,9503,,0.273
1150,3823,,0.273
1151,9503,Toys,0.273
1152,3823,Industrial monocarboxylic fatty acids,0.273
1153,3820,,0.272
1154,3820,Antifreezing preparation,0.272
1155,3214,,0.27
1156,3214,Glaziers' putty,0.27
1157,705,,0.265
1158,5811,Quilted textile products,0.265
1159,0705,Lettuce,0.265
1160,5811,,0.265
1161,4111,Composition leather,0.263
1162,4111,,0.263
1163,7209,,0.262
1164,7209,"Flat-rolled iron, width > 600mm, cold-rolled, not clad",0.262
1165,6914,Other ceramic articles,0.261
1166,6914,,0.261
1167,2307,Wine lees,0.259
1168,7413,"Copper wire, uninsulated",0.257
1169,7413,,0.257
1170,7228,Other bars and rods of other alloy steel,0.256
1171,7228,,0.256
1172,3306,Dental hygiene products,0.254
1173,4823,Other paper cut to size,0.254
1174,4823,,0.254
1175,3306,,0.254
1176,3505,,0.25
1177,3505,Dextrins and other modified starches,0.25
1178,6911,,0.242
1179,6911,Porcelain or china household articles,0.242
1180,5405,,0.241
1181,5405,"Artificial monofilament >67dtex t<1mm, strip, straws t<5mm",0.241
1182,4813,,0.24
1183,4813,Cigarette paper,0.24
1184,2806,,0.237
1185,8604,,0.237
1186,2806,Hydrochloric acid,0.237
1187,8604,Railway service vehicles,0.237
1188,8003,,0.234
1189,8003,Tin bars and wire,0.234
1190,4003,Reclaimed rubber,0.233
1191,6813,,0.233
1192,4003,,0.233
1193,6813,Friction material and articles thereof,0.233
1194,8711,Motorcycles,0.227
1195,8711,,0.227
1196,4504,Agglomerated cork,0.226
1197,4504,,0.226
1198,2939,,0.221
1199,2939,Vegetable alkaloids,0.221
1200,5703,,0.217
1201,4706,Pulps of recovered paper fibers,0.217
1202,5703,"Carpets, tufted",0.217
1203,4706,,0.217
1204,8111,Manganese,0.216
1205,3902,Polymers of propylene,0.214
1206,3902,,0.214
1207,8431,,0.213
1208,7503,Nickel waste and scrap,0.213
1209,8452,Sewing machines,0.213
1210,8431,Parts for use with hoists and excavation machinery,0.213
1211,8452,,0.213
1212,1003,Barley,0.212
1213,1003,,0.212
1214,2901,Acyclic hydrocarbons,0.21
1215,2901,,0.21
1216,9607,Slide fasteners,0.209
1217,9607,,0.209
1218,5516,Woven fabrics of artificial staple fibers,0.209
1219,5516,,0.209
1220,8410,"Hydraulic turbines, water wheels and regulators",0.206
1221,8410,,0.206
1222,9602,,0.201
1223,9602,Worked vegetable or mineral carving material,0.201
1224,5007,Woven silk fabrics,0.2
1225,5007,,0.2
1226,3817,,0.199
1227,3817,Mixed alkylbenzenes,0.199
1228,6810,,0.197
1229,7117,Imitation jewelry,0.197
1230,6810,"Articles of cement, of concrete or of artificial stone",0.197
1231,7117,,0.197
1232,3901,Polymers of ethylene,0.195
1233,7303,Tubes of cast iron,0.195
1234,7303,,0.195
1235,3901,,0.195
1236,408,,0.193
1237,0408,Egg yolks,0.193
1238,8906,Other vessels,0.192
1239,4410,,0.192
1240,4410,Particle board and similar board,0.192
1241,8906,,0.192
1242,7110,,0.19
1243,7110,Platinum,0.19
1244,9403,Other furniture and parts,0.188
1245,9403,,0.188
1246,6601,Umbrellas,0.184
1247,6601,,0.184
1248,4809,,0.182
1249,4809,Carbon paper,0.182
1250,2821,,0.181
1251,2821,Iron oxides and hydroxides,0.181
1252,4012,,0.175
1253,4012,Used pneumatic tires of rubber,0.175
1254,3211,,0.171
1255,3211,Prepared driers,0.171
1256,2847,Hydrogen peroxide,0.168
1257,2847,,0.168
1258,6303,Curtains,0.163
1259,6303,,0.163
1260,5306,Flax yarn,0.161
1261,2514,,0.161
1262,5306,,0.161
1263,3806,Rosin and resin acids,0.161
1264,2514,Slate,0.161
1265,3806,,0.161
1266,2835,,0.16
1267,2835,Phosphates,0.16
1268,5609,"Articles of yarn, rope etc not elsewhere clasified",0.159
1269,5609,,0.159
1270,3305,,0.156
1271,3305,Hair products,0.156
